GUID,",","Series/Group              ,","Slate Start ,","Slate End   ,","Writing Types,",Recorded/Digital,,,",",format of most of the information,",",Anything moving on screen during slate?,
cpb-aacip-129-171vhpcz,",","North Carolina Now        ,","00:00:04 ,","00:00:16 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-171vhpz8,",","North Carolina Now        ,","00:00:04 ,","00:00:24 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-171vhq0p,",","North Carolina Now        ,","00:00:05 ,","00:00:12 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-171vhq1d,",","North Carolina Now        ,","00:00:05 ,","00:00:12 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-171vhq24,",","North Carolina Now        ,","00:00:05 ,","00:00:12 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-171vhq3v,",","North Carolina Now        ,","00:00:05 ,","00:00:17 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-17crjk7n,",","North Carolina Now        ,","00:00:04 ,","00:00:19 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-17crjk8c,",","North Carolina Now        ,","00:00:05 ,","00:00:14 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-17crjk93,",","North Carolina Now        ,","00:00:05 ,","00:00:09 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-17crjkbt,",","North Carolina Now        ,","00:00:05 ,","00:00:19 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-17qnkgg9,",","North Carolina Now        ,","00:00:07 ,","00:00:26 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-17qnkgh1,",","North Carolina Now        ,","00:00:06 ,","00:00:19 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-17qnkgjr,",","North Carolina Now        ,","00:00:06 ,","00:00:11 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-182jmc2r,",","North Carolina Now        ,","00:00:05 ,","00:00:22 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-182jmc3g,",","North Carolina Now        ,","00:00:00 ,","00:00:02 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-182jmc46,",","North Carolina Now        ,","00:00:04 ,","00:00:11 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-182jmc5x,",","North Carolina Now        ,","00:00:00 ,","00:00:05 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-18dfn8g1,",","North Carolina Now        ,","00:00:04 ,","00:00:11 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-18rbp4wm,",","North Carolina Now        ,","00:00:05 ,","00:00:13 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-18rbp4xb,",","North Carolina Now        ,","00:00:06 ,","00:00:16 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-18rbp4z2,",","North Carolina Now        ,","00:00:05 ,","00:00:22 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-18rbp50g,",","North Carolina Now        ,","00:00:05 ,","00:00:17 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-1937q1sk,",","North Carolina Now        ,","00:00:05 ,","00:00:18 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-1937q1t9,",","North Carolina Now        ,","00:00:06 ,","00:00:39 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-1937q1v1,",","North Carolina Now        ,","00:00:06 ,","00:00:29 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-1937q1wr,",","North Carolina Now        ,","00:00:04 ,","00:00:18 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-1937q1xg,",","North Carolina Now        ,","00:00:04 ,","00:00:13 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-19f4qxsh,",","North Carolina Now        ,","00:00:04 ,","00:00:26 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-19f4qz20,",","North Carolina Now        ,","00:00:04 ,","00:00:28 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-19f4qz3q,",","North Carolina Now        ,","00:00:04 ,","00:00:16 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-19f4qz55,",","North Carolina Now        ,","00:00:05 ,","00:00:10 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-19f4qz6w,",","North Carolina Now        ,","00:00:05 ,","00:00:12 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-19f4qz7m,",","North Carolina Now        ,","00:00:05 ,","00:00:17 ,","typed        ,",digital,,,",",boxes to fill in,",","yes, animation (floating witch)",
cpb-aacip-129-19s1rtd4,",","North Carolina Now        ,","00:00:05 ,","00:00:25 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-19s1rtfv,",","North Carolina Now        ,","00:00:04 ,","00:00:12 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-203xsqcz,",","North Carolina Now        ,","00:00:04 ,","00:00:09 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-203xsqdp,",","North Carolina Now        ,","00:00:06 ,","00:00:16 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-203xsqfd,",","North Carolina Now        ,","00:00:04 ,","00:00:16 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-203xsqg4,",","North Carolina Now        ,","00:00:05 ,","00:00:15 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-203xsqhv,",","North Carolina Now        ,","00:00:05 ,","00:00:18 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-203xsqjk,",","North Carolina Now        ,","00:00:05 ,","00:00:18 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-203xsqk9,",","North Carolina Now        ,","00:00:04 ,","00:00:14 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-20fttm6x,",","North Carolina Now        ,","00:00:04 ,","00:00:21 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-20fttm7n,",","North Carolina Now        ,","00:00:05 ,","00:00:17 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-20fttm8c,",","North Carolina Now        ,","00:00:08 ,","00:00:16 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-20fttm93,",","North Carolina Now        ,","00:00:05 ,","00:00:24 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-20fttmbt,",","North Carolina Now        ,","00:00:05 ,","00:00:11 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-214mwcnc,",","North Carolina Now        ,","00:00:04 ,","00:00:14 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-214mwcp3,",","North Carolina Now        ,","00:00:04 ,","00:00:12 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-214mwcqt,",","North Carolina Now        ,","00:00:04 ,","00:00:20 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-214mwd7c,",","North Carolina Now        ,","00:00:04 ,","00:00:20 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-21ghx8qd,",","North Carolina Now        ,","00:00:05 ,","00:00:17 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-21ghx967,",","North Carolina Now        ,","00:00:08 ,","00:00:27 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-21ghx97z,",","North Carolina Now        ,","00:00:04 ,","00:00:14 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-21ghx98p,",","North Carolina Now        ,","00:00:05 ,","00:00:11 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-21tdz599,",","North Carolina Now        ,","00:00:05 ,","00:00:19 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-225b02ch,",","North Carolina Now        ,","00:00:04 ,","00:00:14 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-225b02vn,",","North Carolina Now        ,","00:00:05 ,","00:00:22 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-22h70x8k,",","North Carolina Now        ,","00:00:05 ,","00:00:16 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-22h70xwm,",","North Carolina Now        ,","00:00:00 ,","00:00:07 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-22h70xxb,",","North Carolina Now        ,","00:00:00 ,","00:00:13 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-22h70xz2,",","North Carolina Now        ,","00:00:05 ,","00:00:16 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-22h70z0g,",","North Carolina Now        ,","00:00:05 ,","00:00:13 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-22v41v37,",","North Carolina Now        ,","00:00:04 ,","00:00:22 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-22v41vkc,",","North Carolina Now        ,","00:00:15 ,","00:00:32 ,","typed        ,",digital,,,",",boxes to fill in,",","no, but slate fades out and back in (tape error?)",
cpb-aacip-129-22v41vm3,",","North Carolina Now        ,","00:00:05 ,","00:00:19 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-23612r2n,",","North Carolina Now        ,","00:00:04 ,","00:00:09 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-23612r3c,",","North Carolina Now        ,","00:00:05 ,","00:00:11 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-23612r43,",","North Carolina Now        ,","00:00:05 ,","00:00:12 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-23612r5t,",","North Carolina Now        ,","00:00:06 ,","00:00:16 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-23612r6j,",","North Carolina Now        ,","00:00:05 ,","00:00:16 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-23hx3ngb,",","North Carolina Now        ,","00:00:04 ,","00:00:07 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-23vt4j3z,",","North Carolina Now        ,","00:00:07 ,","00:00:45 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-23vt4j4p,",","North Carolina Now        ,","00:00:04 ,","00:00:18 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-24jm6b6v,",","North Carolina Now        ,","00:00:01 ,","00:00:08 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-24jm6b7k,",","North Carolina Now        ,","00:00:05 ,","00:00:10 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-24jm6b89,",","North Carolina Now        ,","00:00:05 ,","00:00:18 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-24wh75mr,",","North Carolina Now        ,","00:00:05 ,","00:00:08 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-24wh75z0,",","North Carolina Now        ,","00:00:05 ,","00:00:24 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-24wh760d,",","North Carolina Now        ,","00:00:05 ,","00:00:10 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-257d82mw,",","North Carolina Now        ,","00:00:04 ,","00:00:23 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-257d830j,",","North Carolina Now        ,","00:00:05 ,","00:00:12 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-257d8318,",","North Carolina Now        ,","00:00:05 ,","00:00:16 ,","typed        ,",digital,,,",",boxes to fill in,",","no, slate dissolves in after color bars",
cpb-aacip-129-25k9905r,",","North Carolina Now        ,","00:00:07 ,","00:00:14 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-25k990kf,",","North Carolina Now        ,","00:00:05 ,","00:00:12 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-25k990m5,",","North Carolina Now        ,","00:00:05 ,","00:00:15 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-25x69w02,",","North Carolina Now        ,","00:00:05 ,","00:00:10 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-25x69w1s,",","North Carolina Now        ,","00:00:05 ,","00:00:18 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-25x69w2h,",","North Carolina Now        ,","00:00:05 ,","00:00:11 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-25x69w37,",","North Carolina Now        ,","00:00:06 ,","00:00:22 ,","typed        ,",digital,,,",",boxes to fill in,",","no, but slate fades out and back in (tape error?)",
cpb-aacip-129-25x69w4z,",","North Carolina Now        ,","00:00:05 ,","00:00:12 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-2683brfx,",","North Carolina Now        ,","00:00:05 ,","00:00:17 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-26m0cnq9,",","North Carolina Now        ,","00:00:05 ,","00:00:38 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-26m0cnr1,",","North Carolina Now        ,","00:00:09 ,","00:00:20 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-26m0cnsr,",","North Carolina Now        ,","00:00:05 ,","00:00:12 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-26m0cntg,",","North Carolina Now        ,","00:00:04 ,","00:00:13 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-26m0cnv6,",","North Carolina Now        ,","00:00:06 ,","00:00:25 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-26m0cnwx,",","North Carolina Now        ,","00:00:05 ,","00:00:15 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-26m0cnxn,",","North Carolina Now        ,","00:00:05 ,","00:00:14 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-26m0cnzc,",","North Carolina Now        ,","00:00:05 ,","00:00:15 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-26xwdj6f,",","North Carolina Now        ,","00:00:08 ,","00:00:19 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-26xwdj75,",","North Carolina Now        ,","00:00:04 ,","00:00:15 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-26xwdj8w,",","North Carolina Now        ,","00:00:05 ,","00:00:16 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-278sfd92,",","North Carolina Now        ,","00:00:04 ,","00:00:12 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-278sfdn9,",","North Carolina Now        ,","00:00:04 ,","00:00:14 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-278sfdp1,",","North Carolina Now        ,","00:00:05 ,","00:00:14 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-278sfdqr,",","North Carolina Now        ,","00:00:05 ,","00:00:15 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-27mpgb30,",","North Carolina Now        ,","00:00:05 ,","00:00:20 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-27mpgb4q,",","North Carolina Now        ,","00:00:04 ,","00:00:22 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-27mpgb5f,",","North Carolina Now        ,","00:00:05 ,","00:00:23 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-27mpgb65,",","North Carolina Now        ,","00:00:05 ,","00:00:13 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-27mpgbmv,",","North Carolina Now        ,","00:00:05 ,","00:00:10 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-27mpgbnk,",","North Carolina Now        ,","00:00:05 ,","00:00:10 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-27zkh64m,",","North Carolina Now        ,","00:00:04 ,","00:00:19 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-27zkh6k1,",","North Carolina Now        ,","00:00:05 ,","00:00:22 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-27zkh6mr,",","North Carolina Now        ,","00:00:05 ,","00:00:14 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-289gj39c,",","North Carolina Now        ,","00:00:04 ,","00:00:12 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-289gj3pb,",","North Carolina Now        ,","00:00:05 ,","00:00:11 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-289gj3q2,",","North Carolina Now        ,",no slate,"no slate    ,",,,,,",",,",",,
cpb-aacip-129-28nck0px,",","North Carolina Now        ,","00:00:05 ,","00:00:10 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-28nck0qn,",","North Carolina Now        ,","00:00:05 ,","00:00:15 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-28nck11v,",","North Carolina Now        ,","00:00:05 ,","00:00:14 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-28nck12k,",","North Carolina Now        ,","00:00:05 ,","00:00:12 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-28nck139,",","North Carolina Now        ,","00:00:05 ,","00:00:16 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-2908kwcw,",","North Carolina Now        ,","00:00:04 ,","00:00:20 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-2908kwdm,",","North Carolina Now        ,","00:00:05 ,","00:00:09 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-2908kwfb,",","North Carolina Now        ,","00:00:05 ,","00:00:15 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-2908kwg2,",","North Carolina Now        ,","00:00:05 ,","00:00:14 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-2908kwhs,",","North Carolina Now        ,","00:00:05 ,","00:00:20 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-2908kwjh,",","North Carolina Now        ,","00:00:05 ,","00:00:06 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-2908kwk7,",","North Carolina Now        ,","00:00:04 ,","00:00:17 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-29b5mscg,",","North Carolina Now        ,","00:00:05 ,","00:00:16 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-29b5msd6,",","North Carolina Now        ,","00:00:04 ,","00:00:15 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-29b5msfx,",","North Carolina Now        ,","00:00:05 ,","00:00:20 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-29b5mswb,",","North Carolina Now        ,","00:00:04 ,","00:00:25 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-29b5msx2,",","North Carolina Now        ,","00:00:05 ,","00:00:13 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-29b5mszs,",","North Carolina Now        ,","00:00:04 ,","00:00:14 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-29p2nnzp,",","North Carolina Now        ,","00:00:05 ,","00:00:20 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-29p2npc2,",","North Carolina Now        ,","00:00:05 ,","00:00:11 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-29p2npds,",","North Carolina Now        ,","00:00:05 ,","00:00:13 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-29p2npfh,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,"sammy paused to jump to a different collection, see more below"
cpb-aacip-129-29p2npg7,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-29p2nphz,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-29p2npjp,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-300zpkvr,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-300zpkwg,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-300zpkx6,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-300zpkzx,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-30bvqgkj,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-30bvqgm8,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-30bvqgn0,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-30prrchp,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-30prrcjd,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-311ns834,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-311ns84v,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-311ns85k,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-311ns869,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-311ns871,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-31cjt50j,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-31cjt518,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-31cjt520,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-31cjt53q,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-31qfv1px,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-31qfv1qn,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-322bvxb5,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-322bvxcw,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-32d7wssg,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-32d7wt4d,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-32r4xp49,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-32r4xpkq,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-32r4xpmf,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-32r4xpn5,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-32r4xppw,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-3331zm3d,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-3331zm44,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-3331zm5v,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-3331zm6k,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-3331zm79,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-33dz0gpn,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-33dz0gqc,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-33dz0gr3,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-33dz0gst,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-33rv1d4b,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-33rv1d52,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-33rv1d6s,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-33rv1d7h,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-33rv1d87,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-343r280w,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-34fn35pz,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-34fn35qp,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-34fn35rd,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-34fn35s4,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-34sj421s,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-354f4zbs,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-354f4zch,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-354f4zd7,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-35gb5tvj,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-35gb5tw8,",","North Carolina Now        ,",",",",","typed        ,",digital,,,",",boxes to fill in,",",no,
